run_timestamp,site_name,origin_month,target_month,model_name,output_type,yhat
2026-05-12T06:11:15,Site T,2026-04,2026-06,ML (Ensemble RF+GBR),forecast_flowrate,11.785620562574596
2026-05-12T06:11:15,Site T,2026-04,2026-06,ML (Ensemble RF+GBR),lower_95,8.417981751952874
2026-05-12T06:11:15,Site T,2026-04,2026-06,ML (Ensemble RF+GBR),upper_95,15.15325937319632
2026-05-12T06:11:15,Site T,2026-04,2026-07,ML (Ensemble RF+GBR),forecast_flowrate,11.725024461645296
2026-05-12T06:11:15,Site T,2026-04,2026-07,ML (Ensemble RF+GBR),lower_95,8.357385651023575
2026-05-12T06:11:15,Site T,2026-04,2026-07,ML (Ensemble RF+GBR),upper_95,15.09266327226702
2026-05-12T06:11:15,Site T,2026-04,2026-08,ML (Ensemble RF+GBR),forecast_flowrate,11.552492849154156
2026-05-12T06:11:15,Site T,2026-04,2026-08,ML (Ensemble RF+GBR),lower_95,8.184854038532434
2026-05-12T06:11:15,Site T,2026-04,2026-08,ML (Ensemble RF+GBR),upper_95,14.920131659775878
2026-05-12T06:11:15,Site T,2026-04,2026-09,ML (Ensemble RF+GBR),forecast_flowrate,11.456773237524985
2026-05-12T06:11:15,Site T,2026-04,2026-09,ML (Ensemble RF+GBR),lower_95,8.089134426903263
2026-05-12T06:11:15,Site T,2026-04,2026-09,ML (Ensemble RF+GBR),upper_95,14.824412048146709
